Username,Name,Before Price,After Price,Link
user27040808,wts y15zr / sniper,Not Slashed,"5,000",https://www.carousell.sg/p/wts-y15zr-sniper-1337033440/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=0
hismilemore,Y15ZR V2 2029,"6,000","5,000",https://www.carousell.sg/p/y15zr-v2-2029-1330333977/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=1
stars.autoworks,Yamaha Sniper Y15 Lease to Own,Not Slashed,150,https://www.carousell.sg/p/yamaha-sniper-y15-lease-to-own-1336075626/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=2
bikechoice.wcega,YAMAHA SNIPER T150 | Y16 | Y15 | SNIPER 155 | EXCITER 155 | SNIPER 150 V2,Not Slashed,"8,800",https://www.carousell.sg/p/yamaha-sniper-t150-y16-y15-sniper-155-exciter-155-sniper-150-v2-1317978869/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=3
sajesaje123,Yamaha sniper y15,Not Slashed,"8,800",https://www.carousell.sg/p/yamaha-sniper-y15-1326133456/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=5
lnpmotorsport,Sniper/ Y15 V2,"2,000","1,500",https://www.carousell.sg/p/sniper-y15-v2-1320198005/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=6
budakyellowhitam,Sniper / y15zr rim,100,80,https://www.carousell.sg/p/sniper-y15zr-rim-1325919474/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=7
danmikeyy,WTT/WTS Y15 V1,"4,500","4,200",https://www.carousell.sg/p/wtt-wts-y15-v1-1323406742/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=8
hdfq72bdzg,Y15 V2 SNIPER,"9,000","7,000",https://www.carousell.sg/p/y15-v2-sniper-1331098623/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=9
powermotor,YAMAHA SPARK 135 | SPARK T135 | LC135 | SPARK135 | Y15 | SNIPER 150,Not Slashed,"7,888",https://www.carousell.sg/p/yamaha-spark-135-spark-t135-lc135-spark135-y15-sniper-150-1283762528/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=10
nabilxhazim,WTT y15 v2,Not Slashed,"1,000",https://www.carousell.sg/p/wtt-y15-v2-1336295703/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=11
hoya_motor,YAMAHA SNIPER (Y15) FOR SALES OR Rent,Not Slashed,"4,388",https://www.carousell.sg/p/yamaha-sniper-y15-for-sales-or-rent-1330787523/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=13
247ukretek,WTT y15zr v1 (test water),Not Slashed,0,https://www.carousell.sg/p/wtt-y15zr-v1-test-water-1335960549/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=14
meeyawmeow,Y15ZR V1 2029,Not Slashed,"6,800",https://www.carousell.sg/p/y15zr-v1-2029-1330647909/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=15
mustxnir,y15 v1 2028,Not Slashed,"3,000",https://www.carousell.sg/p/y15-v1-2028-1330528234/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=16
senselessmassacre,Sniper V1 Y15 - Negotiable,"7,000","6,500",https://www.carousell.sg/p/sniper-v1-y15-negotiable-1315451709/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=17
bikechoice.wcega,YAMAHA SNIPER T150 | Y16 | Y15 | SNIPER 155 | EXCITER 155 | SNIPER 150 V1,"7,800","6,800",https://www.carousell.sg/p/yamaha-sniper-t150-y16-y15-sniper-155-exciter-155-sniper-150-v1-1299336237/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=18
arayasuhan04678,Y15 for sale,Not Slashed,"3,333",https://www.carousell.sg/p/y15-for-sale-1335630342/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=19
fvnfvck,Y15zr WTS/WTT,"7,000","5,000",https://www.carousell.sg/p/y15zr-wts-wtt-1335597264/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=20
peach_teaa,Y15/Sniper,Not Slashed,"3,500",https://www.carousell.sg/p/y15-sniper-1291240173/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=21
amiirhaiidar.bai,Sniper V1 Y15 Ysuku,Not Slashed,"2,800",https://www.carousell.sg/p/sniper-v1-y15-ysuku-1335328708/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=22
ride_culture,Sniper / Yamaha T150 / Y15ZR / MX King / Exciter / Y15ZR | Not Wave RS150 Supra GTR RS150,"6,000","5,500",https://www.carousell.sg/p/sniper-yamaha-t150-y15zr-mx-king-exciter-y15zr-not-wave-rs150-supra-gtr-rs150-1308952843/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=23
bpk_kau_isap_bong,wts y15,Not Slashed,"3,000",https://www.carousell.sg/p/wts-y15-1335153761/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=25
thaigreenmilkteaaaa,Y15 V1,Not Slashed,"7,000",https://www.carousell.sg/p/y15-v1-1329795451/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=27
yishunmotoring.sg,PRE OWNED YAMAHA SNIPER T150 V2 ( USED UNIT YAMAHA SNIPER T150 V2 ) 2B CUB | 2B | Y15 | 150CC | Y15V2 | SNIPER 150 | SNIPER V2,Not Slashed,"8,577",https://www.carousell.sg/p/pre-owned-yamaha-sniper-t150-v2-used-unit-yamaha-sniper-t150-v2-2b-cub-2b-y15-150cc-y15v2-sniper-150-sniper-v2-1323346839/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=28
zacbythenight,Yamaha Y15 v2 WTS/WTT,Not Slashed,"8,099",https://www.carousell.sg/p/yamaha-y15-v2-wts-wtt-1334890005/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=29
bikechoiceamk,$388 rideaway Y15.,Not Slashed,388,https://www.carousell.sg/p/388-rideaway-y15-1330801633/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=30
sachik0,Y15,Not Slashed,"5,500",https://www.carousell.sg/p/y15-1329430018/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=31
lectronjetrod,"Sniper (y15,sniper)","13,000","6,000",https://www.carousell.sg/p/sniper-y15-sniper-1327875486/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=32
aminsabtu10,Y15zr V2,Not Slashed,"5,000",https://www.carousell.sg/p/y15zr-v2-1334267212/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=33
bikechoice.wcega,YAMAHA SNIPER T150 | Y16 | Y15 | SNIPER 155 | EXCITER 155 | SNIPER 150 V2,Not Slashed,"8,800",https://www.carousell.sg/p/yamaha-sniper-t150-y16-y15-sniper-155-exciter-155-sniper-150-v2-1320145999/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=34
dualblxxd,Sniper 150/ Y15 v2,Not Slashed,"6,000",https://www.carousell.sg/p/sniper-150-y15-v2-1329152936/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=35
bikechoice.wcega,YAMAHA SNIPER T150 | Y16 | Y15 | SNIPER 155 | EXCITER 155 | SNIPER 150 V2,254,180,https://www.carousell.sg/p/yamaha-sniper-t150-y16-y15-sniper-155-exciter-155-sniper-150-v2-1317982977/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=36
maxspeed_showroom,USED UNIT YAMAHA MXKING V2 ( PRE OWNED YAMAHA MXKING Y15 V2 ) YAMAHA | Y15 | Y15ZR | 150 | 2B | USED 2B CUB | MX KING | V2 | 150 CC,Not Slashed,"7,877",https://www.carousell.sg/p/used-unit-yamaha-mxking-v2-pre-owned-yamaha-mxking-y15-v2-yamaha-y15-y15zr-150-2b-used-2b-cub-mx-king-v2-150-cc-1323319987/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=37
_kumar08_,y15zr v1,"9,000","4,500",https://www.carousell.sg/p/y15zr-v1-1329095860/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=38
biskot888,Y15 v1 2027,Not Slashed,"5,800",https://www.carousell.sg/p/y15-v1-2027-1329046924/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=39
yewhengmotorsports,Used Yamaha Mx King 150 | Sniper 150 | v2 | Y15ZR | Y15,Not Slashed,"10,888",https://www.carousell.sg/p/used-yamaha-mx-king-150-sniper-150-v2-y15zr-y15-1318347430/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=40
doubbleco,yamaha y15zr wts wtt,Not Slashed,"6,000",https://www.carousell.sg/p/yamaha-y15zr-wts-wtt-1315775289/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=41
mvzikeen,Y15 / Ysuku / Sniper 150. NEGO till let go,"8,000","7,000",https://www.carousell.sg/p/y15-ysuku-sniper-150-nego-till-let-go-1328877331/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=42
doubbleco,y15zr,Not Slashed,"5,000",https://www.carousell.sg/p/y15zr-1333997832/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=44
bigbuffetboy,2029  Sniper T150/ Y15,Not Slashed,"7,000",https://www.carousell.sg/p/2029-sniper-t150-y15-1323444356/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=45
kmplusmotor,𝘾𝙊𝙉𝙁𝙄𝙍𝙈 𝘾𝙃𝙀𝘼𝙋 YAMAHA SNIPER T150 V1 USED YSUKU Y15ZR MX KING HLY CUB ROAD MOTOR MOTORCYCLE MOTORBIKE 2B KM PLUS MOTOR MOTORING KMPLUSMOTOR WOODLANDS E9 PREMIUM GP 10,Not Slashed,"7,800",https://www.carousell.sg/p/𝘾𝙊𝙉𝙁𝙄𝙍𝙈-𝘾𝙃𝙀𝘼𝙋-yamaha-sniper-t150-v1-used-ysuku-y15zr-mx-king-hly-cub-road-motor-motorcycle-motorbike-2b-km-plus-motor-motoring-kmplusmotor-woodlands-e9-premium-gp-10-1333927746/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=46
pleasedontsaynohehe,y15 rim rcb,Not Slashed,150,https://www.carousell.sg/p/y15-rim-rcb-1317704632/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=47
movelikejaggerrr,Yamaha Y15,"4,500","4,000",https://www.carousell.sg/p/yamaha-y15-1333602650/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=48
druginc,Yamaha Sniper 150 Y15ZR V1,Not Slashed,"8,000",https://www.carousell.sg/p/yamaha-sniper-150-y15zr-v1-1328336483/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=49
nnooooooo,y15 sniper 2029 $7.5k nego,"8,000","7,500",https://www.carousell.sg/p/y15-sniper-2029-7-5k-nego-1306605090/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=f9UAxcw1r39FI6Nn&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=50
